message,severity,attributes,tags,timestamp
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442829334Z
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442840513Z
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442846243Z
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442850363Z
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442855143Z
20-envsubst-on-templates.sh: Running envsubst on /etc/nginx/templates/default.conf.template to /etc/nginx/conf.d/default.conf,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442860313Z
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442866753Z
30-tune-worker-processes.sh: error: can not modify /etc/nginx/nginx.conf (read-only file system?),error,"{""level"":""error""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442870993Z
/docker-entrypoint.sh: Configuration complete; ready for start up,info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442874943Z
"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration",info,"{""level"":""info""}","{""project"":""5f58e70a-e104-424c-8470-52de2d116c48"",""environment"":""258b3a07-173f-4624-a872-79e00c11b9b5"",""service"":""c51af5d6-6881-497b-b1ac-6bf5e0471962"",""deployment"":""5d4c4ad1-e5c1-4e80-bf54-bf073016f422"",""replica"":""29efc3da-0e0a-4415-9f13-094d7c04bc83""}",2026-09-02T19:00:38.442914373Z
